id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,cluster
5InOp6q2vvx0fShv3bzFLZ,Know Yourself,['Drake'],275840,2/12/15,2015,0.196,0.72,0.412,0.0,0.342,-8.687,0.223,114.408,0.179,0,11,68,1,1
5S1IUPueD0xE0vj4zU3nSf,Bigger Than You (feat. Drake & Quavo),"['2 Chainz', 'Drake', 'Quavo']",225893,6/15/18,2018,0.247,0.888,0.515,0.0,0.446,-6.246,0.271,141.009,0.264,1,1,65,1,1
4JDZl9nKIAhAhDjw753u4X,For Free (feat. Drake),"['DJ Khaled', 'Drake']",183695,6/17/16,2016,0.0173,0.916,0.571,1.11e-06,0.153,-8.241,0.2,103.521,0.498,0,10,56,1,1
0JaVdpmiex2EP7bBzyKVTa,November 18th,['Drake'],188189,2009,2009,0.579,0.749,0.476,0.0,0.1,-11.147,0.507,71.937,0.534,0,11,61,1,3
04a1HkNH7LFsG5mEiLN7vl,No New Friends - SFTB Remix,"['DJ Khaled', 'Drake', 'Rick Ross', 'Lil Wayne']",308333,1/1/13,2013,0.00589,0.703,0.681,0.0,0.449,-6.356,0.133,124.928,0.245,1,2,56,1,1
17Q87zeXgsAi9iQQbMu9v0,Summer Sixteen,['Drake'],202451,2/5/16,2016,0.00354,0.594,0.46,2.71e-05,0.147,-7.607,0.382,146.274,0.0541,1,1,58,1,1
3IvMYBE7A3c7to1aEcfFJk,Deep Pockets,['Drake'],222929,5/1/20,2020,0.482,0.473,0.824,0.0,0.605,-3.68,0.163,77.888,0.374,0,7,74,1,1
39hnH8WdPmNT3Q3yzwC9Rg,Why You Always Hatin?,"['YG', 'Drake', 'Kamaiyah']",196600,6/17/16,2016,0.0392,0.926,0.336,0.0,0.138,-9.326,0.594,92.995,0.38,0,0,61,1,3
1kMuU3TNQvHbqvXCWBodmP,Right Above It,"['Lil Wayne', 'Drake']",271947,1/1/10,2010,0.0435,0.376,0.841,0.0,0.578,-4.348,0.356,76.052,0.463,0,3,68,1,1
5i70f6KOnmtRCbutYnLvVC,Over Here (feat. Drake),"['PARTYNEXTDOOR', 'Drake']",177827,7/1/13,2013,0.0384,0.794,0.592,1.86e-05,0.111,-6.973,0.129,97.201,0.177,1,8,52,1,1
6oLHyWvmk6bKrA91EIYZBp,Wednesday Night Interlude,"['Drake', 'PARTYNEXTDOOR']",212280,2/12/15,2015,0.729,0.312,0.466,7.34e-06,0.215,-8.163,0.0509,135.44,0.195,0,9,57,1,0
